GENESIS-Tabelle: Temporär
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatsbericht über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2014;Oktober;Erdgas, Erdölgas;2570904;2475385;2556331;25396018
2014;Oktober;Grubengas;.;.;.;.
2014;Oktober;Kokereigas;.;.;.;.
2014;Oktober;Hochofengas;.;.;.;.
2014;Oktober;Sonstige hergestellte Gase;-;-;-;-
2014;Oktober;Laufwasser;1257819;1241380;-;-
2014;Oktober;Speicherwasser;58720;58129;-;-
2014;Oktober;Pumpspeicherwasser;-;-;-;-
2014;Oktober;Pumpspeicher mit natürlichem Zufluss;36072;34354;-;-
2014;Oktober;Pumpspeicher ohne natürlichen Zufluss;543401;531862;-;-
2014;Oktober;Windkraft;-;-;-;-
2014;Oktober;Photovoltaik;-;-;-;-
2014;Oktober;Geothermie;5925;.;.;-
2014;Oktober;Solarthermie;-;-;-;-
2014;Oktober;Feste biogene Stoffe;372587;336220;398651;6223600
2014;Oktober;Flüssige biogene Stoffe;.;.;.;.
2014;Oktober;Biogas;107767;104805;108498;1069878
2014;Oktober;Klärgas;2552;2463;2679;33013
2014;Oktober;Deponiegas;6859;6623;.;71149
2014;Oktober;Sonstige erneuerbare Energien;.;.;-;308204
2014;Oktober;Klärschlamm;13553;12435;1093;128489
2014;Oktober;Abfall (Hausmüll, Industrie);-;-;-;-
2014;Oktober;Abfall (Industrie);88965;69496;137230;1876333
2014;Oktober;Abfall (Hausmüll, Siedlungsabfälle);991317;787192;1089179;17682112
2014;Oktober;Kernenergie;9262949;8784009;-;-
2014;Oktober;Wärme;58666;55509;137170;1060203
2014;Oktober;Sonstige Energieträger;.;.;.;.
2014;Oktober;Insgesamt;41275944;38436458;7461573;296053023
2014;November;Steinkohlen;11094797;10174228;3186626;106703506
2014;November;Steinkohlenkoks;-;-;-;-
2014;November;Steinkohlenbriketts;-;-;-;-
2014;November;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;November;Sonstige Steinkohlen;-;-;-;-
2014;November;Rohbraunkohlen;13834753;12864983;969224;128896498
2014;November;Hartbraunkohlen;.;.;.;.
2014;November;Braunkohlenbriketts;4077;.;.;49427
2014;November;Braunkohlenkoks;.;.;.;.
2014;November;Wirbelschichtkohle;.;.;.;.
2014;November;Staub- und Trockenkohle;29163;26664;54776;433881
2014;November;Sonstige Braunkohlen;-;-;-;-
2014;November;Dieselkraftstoff;.;.;-;.
2014;November;Heizöl, leicht;36309;33001;21716;573829
2014;November;Heizöl, schwer;31705;29222;8931;341743
2014;November;Flüssiggas;.;.;.;.
